"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 29-Apr-2025","1W AGO 
 25-Apr-2025","1M AGO 
 01-Apr-2025","1Y AGO 
 30-Apr-2024","52W H 
","52W L 
","365 D % CHNG 
 30-Apr-2024","30 D % CHNG 
 01-Apr-2025"
"NIFTY 50","24,355.40","0.09","24,311.90","24,589.15","24,238.50","-","24,334.20","24,335.95","24,039.35","23,165.70","22,604.85","26,277.35","21,281.45","7.65","5.04"
"NIFTY NEXT 50","64,537.85","0.04","64,471.65","65,123.45","64,156.05","-","64,508.85","64,892.35","64,314.90","62,372.10","64,900.50","77,918.00","56,192.45","-0.60","3.43"
"NIFTY BANK","55,153.35","0.12","55,100.95","55,691.95","54,994.40","-","55,087.15","55,391.25","54,664.05","50,827.50","49,396.75","56,098.70","46,077.85","11.52","8.38"
"NIFTY FINANCIAL SERVICES","26,171.55","0.22","26,121.65","26,354.85","26,067.55","-","26,113.55","26,193.85","26,036.10","24,529.40","21,841.15","26,819.10","20,457.90","19.56","6.46"
"NIFTY MIDCAP SELECT","12,013.15","-0.51","12,036.00","12,221.00","11,940.85","-","12,075.30","12,195.00","11,971.40","11,383.90","11,059.75","13,407.55","5,520.25","9.18","6.07"
"NIFTY 100","24,863.65","0.08","24,822.45","25,098.40","24,740.30","-","24,843.80","24,870.40","24,581.30","23,713.80","23,436.50","27,335.65","22,003.75","6.00","4.77"
"NIFTY 200","13,435.70","-0.02","13,423.60","13,572.20","13,368.50","-","13,438.15","13,469.00","13,296.85","12,809.30","12,673.15","14,833.75","11,878.65","6.04","4.91"
"NIFTY 500","22,026.45","-0.02","22,009.95","22,238.90","21,920.85","-","22,030.05","22,112.40","21,848.15","21,070.75","20,997.20","24,573.40","19,519.85","4.92","4.55"
"NIFTY MIDCAP 50","15,215.40","-0.64","15,269.85","15,441.00","15,133.70","-","15,314.10","15,442.30","15,137.50","14,421.70","14,161.90","17,066.75","13,269.65","8.14","6.19"
"NIFTY MIDCAP 100","53,843.55","-0.52","54,004.95","54,593.35","53,563.90","-","54,124.90","54,587.95","53,570.20","51,229.60","50,868.20","60,925.95","46,865.70","6.40","5.65"
"NIFTY SMALLCAP 100","16,488.95","0.24","16,476.65","16,620.20","16,351.00","-","16,448.85","16,738.70","16,547.20","15,982.95","17,011.80","19,716.20","14,084.30","-3.31","2.91"
"INDIA VIX","18.27","0.26","18.22","18.86","17.35","-","18.22","17.37","17.16","13.78","12.87","31.71","9.47","41.57","32.22"
